"filename", "language", "HTML", "JavaScript", "CSS", "SCSS", "Less", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\menulayout\style.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\Paging\store.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 18, 10, 141
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\Paging\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\component\cascader\store.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 13, 11, 93
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\component\cascader\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\store.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 0, 0, 12, 195
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\style.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\menulayout\store.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 5, 21, 84
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\menulayout\style.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdcontent\store.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 0, 7, 141
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdcontent\style.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdtable\store.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 1, 13, 122
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdtable\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\store.js", "JavaScript", 0, 224, 0, 0, 0, 0, 0, 0, 0, 41, 265
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\top\store.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 1, 1, 30
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\top\style.css", "CSS", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\store.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
